TIME,demand,solar,wind
8:00,"2,967",267,6
9:00,"3,253",322,8
10:00,"3,376",307,10
11:00,"3,413",279,11
12:00,"3,281",262,10
13:00,"3,422",189,9
14:00,"3,433",120,10
15:00,"3,394",80,8
16:00,"3,387",28,7
17:00,"3,348",0,6
18:00,"3,362",0,6
19:00,"3,237",0,7
20:00,"3,076",0,7
21:00,"2,915",0,6
22:00,"2,820",0,5
23:00,"2,636",0,5
0:00,"2,434",0,6
1:00,"2,317",0,5
2:00,"2,294",0,6
3:00,"2,323",0,7
4:00,"2,362",0,8
5:00,"2,415",0,8
6:00,"2,603",29,9
7:00,"2,833",103,9
8:00,"3,131",214,9
9:00,"3,427",306,9
10:00,"3,506",325,10
11:00,"3,495",306,10
12:00,"3,347",321,10
13:00,"3,502",287,9
14:00,"3,545",249,9
15:00,"3,500",117,10
16:00,"3,493",25,10
17:00,"3,450",0,10
18:00,"3,457",0,10
19:00,"3,316",0,10
20:00,"3,136",0,10
21:00,"2,959",0,8
22:00,"2,863",0,7
23:00,"2,693",0,6
0:00,"2,491",0,9
1:00,"2,360",0,13
2:00,"2,338",0,17
3:00,"2,349",0,17
4:00,"2,372",0,19
5:00,"2,438",0,20
6:00,"2,623",13,21
7:00,"2,881",85,23
8:00,"3,177",137,21
9:00,"3,444",144,22
10:00,"3,580",228,21
11:00,"3,632",195,19
12:00,"3,441",178,18
13:00,"3,600",140,17
14:00,"3,577",102,15
15:00,"3,514",70,12
16:00,"3,486",39,13
17:00,"3,424",4,14
18:00,"3,413",0,16
19:00,"3,333",0,15
20:00,"3,150",0,15
21:00,"2,988",0,15
22:00,"2,897",0,15
23:00,"2,709",0,16
0:00,"2,487",0,18
1:00,"2,347",0,16
2:00,"2,311",0,18
3:00,"2,341",0,15
4:00,"2,380",0,15
5:00,"2,410",28,15
6:00,"2,599",170,13
7:00,"2,852",347,11
8:00,"3,144",496,10
9:00,"3,417",600,9
10:00,"3,522",659,8
11:00,"3,570",678,8
12:00,"3,426",666,6
13:00,"3,598",618,4
14:00,"3,625",526,3
15:00,"3,588",378,3
16:00,"3,584",231,2
17:00,"3,464",73,2
18:00,"3,426",1,2
19:00,"3,373",0,3
20:00,"3,166",0,7
21:00,"2,982",0,9
22:00,"2,887",0,6
23:00,"2,696",0,6
