Name,Cloud Cover,Solar Radiation,Relative Humidity,Temperature,Wind Speed,Solar Energy
"Matsuyama, Japan",88.2,29.2,90.0,13.7,6.7,0.1
"Matsuyama, Japan",100.0,35.0,91.0,14.0,6.8,0.1
"Matsuyama, Japan",79.4,237.0,85.2,15.3,7.7,0.9
"Matsuyama, Japan",58.8,439.0,79.3,16.7,8.5,1.6
"Matsuyama, Japan",38.2,641.0,73.5,18.1,9.4,2.3
"Matsuyama, Japan",34.7,674.3,74.9,17.8,8.9,2.4
"Matsuyama, Japan",31.1,707.7,76.4,17.5,8.4,2.5
"Matsuyama, Japan",27.6,741.0,77.8,17.3,7.9,2.7
"Matsuyama, Japan",21.7,631.3,79.6,16.6,6.1,2.3
"Matsuyama, Japan",15.7,521.7,81.5,16.0,4.3,1.9
"Matsuyama, Japan",9.8,412.0,83.3,15.4,2.5,1.5
"Matsuyama, Japan",8.9,345.7,86.1,14.5,2.6,1.2
"Matsuyama, Japan",7.9,279.3,88.8,13.7,2.8,1.0
"Matsuyama, Japan",7.0,213.0,91.6,12.9,2.9,0.8
"Matsuyama, Japan",5.6,142.0,92.2,12.6,3.6,0.5
"Matsuyama, Japan",4.3,71.0,92.7,12.3,4.3,0.3
"Matsuyama, Japan",2.9,0.0,93.3,12.1,5.0,0.0
"Matsuyama, Japan",2.8,0.0,93.3,11.8,6.1,0.0
"Matsuyama, Japan",2.6,0.0,93.4,11.6,7.2,0.0
"Matsuyama, Japan",2.5,0.0,93.4,11.4,8.3,0.0
"Matsuyama, Japan",1.7,3.0,93.1,11.4,7.8,0.0
"Matsuyama, Japan",0.8,6.0,92.8,11.5,7.3,0.0
"Matsuyama, Japan",0.0,9.0,92.5,11.6,6.8,0.0
"Matsuyama, Japan",33.2,77.0,83.5,13.3,7.7,0.3
"Matsuyama, Japan",66.4,145.0,74.6,15.0,8.5,0.5
"Matsuyama, Japan",99.6,213.0,65.6,16.7,9.4,0.8
"Matsuyama, Japan",99.7,418.3,60.1,17.4,11.3,1.5
"Matsuyama, Japan",99.9,623.7,54.7,18.1,13.2,2.2
"Matsuyama, Japan",100.0,829.0,49.2,18.8,15.1,3.0
"Matsuyama, Japan",100.0,823.7,48.6,18.9,14.6,3.0
"Matsuyama, Japan",100.0,818.3,48.0,18.9,14.2,2.9
"Matsuyama, Japan",100.0,813.0,47.4,19.1,13.7,2.9
"Matsuyama, Japan",,,,,,
"Matsuyama, Japan",,,,,,
"Matsuyama, Japan",,,,,,
"Matsuyama, Japan",,,,,,
"Matsuyama, Japan",,,,,,
"Matsuyama, Japan",,,,,,
"Matsuyama, Japan",,,,,,
"Matsuyama, Japan",,,,,,
"Tokushima-Shi, Japan",100.0,0.0,63.0,7.3,7.2,0.0
"Tokushima-Shi, Japan",100.0,0.0,64.6,7.1,6.5,0.0
